RunAccession,SampleAccession,DatasetAccession,LibraryStrategy,DatasetReadable,DatasetName,DatasetAbbrev,Author,PairedEnd,Source,CellLine,Producer,ProductType,Glutamine,GlutamineConcentration,CulturePhase,Host,CellLineSource,CellLineExact,Temperature,SelectionMarker,Growth,ProcessType,Productivity,Stability ,FullSampleName
SRR3161771,SRS1322694,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,LateExp,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_108h
SRR3161772,SRS1322692,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,LateExp,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_108h
SRR3161773,SRS1322691,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,EarlyStat,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_120h
SRR3161774,SRS1322690,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,EarlyStat,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_120h
SRR3161775,SRS1322689,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,EarlyStat,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_120h
SRR3161776,SRS1322688,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,EarlyStat,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_120h
SRR3161777,SRS1322686,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,MidStat,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_132h
SRR3161778,SRS1322687,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,MidStat,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_132h
SRR3161779,SRS1322685,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,MidStat,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_132h
SRR3161780,SRS1322684,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,MidStat,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_132h
SRR3161781,SRS1322682,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,MidStat,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_144h
SRR3161782,SRS1322681,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,MidStat,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_144h
SRR3161783,SRS1322683,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,MidStat,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_144h
SRR3161784,SRS1322680,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,MidStat,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_144h
SRR3161785,SRS1322679,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,LateStat,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_156h
SRR3161786,SRS1322678,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,LateStat,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_156h
SRR3161787,SRS1322677,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,LateStat,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_156h
SRR3161788,SRS1322676,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,LateStat,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_156h
SRR3161789,SRS1322674,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,LateStat,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_168h
SRR3161790,SRS1322673,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,LateStat,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_168h
SRR3161791,SRS1322672,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,LateStat,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_168h
SRR3161792,SRS1322671,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,LateStat,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_168h
SRR3161793,SRS1322670,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,Decl,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_180h
SRR3161794,SRS1322675,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,Decl,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_180h
SRR3161795,SRS1322669,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,Decl,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_180h
SRR3161796,SRS1322668,SRP069883,PolyA,SRP069883,Hefzi,H,Hefzi,TRUE,SRA,CHO-S,FALSE,NA,TRUE,8,Decl,TRUE,Commercial,Life Technologies,37,NA,NA,Batch,NA,NA,Batch_180h
SRR5812564,SRS2343053,SRP111368,PolyA,SRP111368,Orellana,O,Orellana,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,Commercial,CHOZN,37,GS-/- + MSX,Low,FedBatch,High,TRUE,HP_Bio_rep1
SRR5812565,SRS2343052,SRP111368,PolyA,SRP111368,Orellana,O,Orellana,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,Commercial,CHOZN,37,GS-/- + MSX,Low,FedBatch,High,TRUE,HP_Bio_rep2
SRR5812566,SRS2343054,SRP111368,PolyA,SRP111368,Orellana,O,Orellana,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,Commercial,CHOZN,37,GS-/- + MSX,Low,FedBatch,High,TRUE,HP_Bio_rep3
SRR5812567,SRS2343055,SRP111368,PolyA,SRP111368,Orellana,O,Orellana,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,Commercial,CHOZN,37,GS-/- + MSX,High,FedBatch,Low,NA,LP_Bio_rep1
SRR5812568,SRS2343056,SRP111368,PolyA,SRP111368,Orellana,O,Orellana,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,Commercial,CHOZN,37,GS-/- + MSX,High,FedBatch,Low,NA,LP_Bio_rep2
SRR5812569,SRS2343057,SRP111368,PolyA,SRP111368,Orellana,O,Orellana,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,Commercial,CHOZN,37,GS-/- + MSX,High,FedBatch,Low,NA,LP_Bio_rep3
SRR5812570,SRS2343058,SRP111368,PolyA,SRP111368,Orellana,O,Orellana,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,Commercial,CHOZN,37,GS-/- + MSX,NA,FedBatch,High,NA,SubHP_Bio_rep1
SRR5812571,SRS2343058,SRP111368,PolyA,SRP111368,Orellana,O,Orellana,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,Commercial,CHOZN,37,GS-/- + MSX,NA,FedBatch,High,NA,SubHP_Bio_rep1
SRR5812572,SRS2343059,SRP111368,PolyA,SRP111368,Orellana,O,Orellana,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,Commercial,CHOZN,37,GS-/- + MSX,NA,FedBatch,High,NA,SubHP_Bio_rep2
SRR5812573,SRS2343059,SRP111368,PolyA,SRP111368,Orellana,O,Orellana,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,Commercial,CHOZN,37,GS-/- + MSX,NA,FedBatch,High,NA,SubHP_Bio_rep2
SRR5812574,SRS2343060,SRP111368,PolyA,SRP111368,Orellana,O,Orellana,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,Commercial,CHOZN,37,GS-/- + MSX,NA,FedBatch,High,NA,SubHP_Bio_rep3
SRR5812575,SRS2343060,SRP111368,PolyA,SRP111368,Orellana,O,Orellana,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,Commercial,CHOZN,37,GS-/- + MSX,NA,FedBatch,High,NA,SubHP_Bio_rep3
SRR5812576,SRS2343061,SRP111368,PolyA,SRP111368,Orellana,O,Orellana,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,Commercial,CHOZN,37,GS-/- + MSX,NA,FedBatch,Low,NA,SubLP_Bio_rep1
SRR5812577,SRS2343061,SRP111368,PolyA,SRP111368,Orellana,O,Orellana,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,Commercial,CHOZN,37,GS-/- + MSX,NA,FedBatch,Low,NA,SubLP_Bio_rep1
SRR5812578,SRS2343062,SRP111368,PolyA,SRP111368,Orellana,O,Orellana,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,Commercial,CHOZN,37,GS-/- + MSX,NA,FedBatch,Low,NA,SubLP_Bio_rep2
SRR5812579,SRS2343062,SRP111368,PolyA,SRP111368,Orellana,O,Orellana,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,Commercial,CHOZN,37,GS-/- + MSX,NA,FedBatch,Low,NA,SubLP_Bio_rep2
SRR5812580,SRS2343063,SRP111368,PolyA,SRP111368,Orellana,O,Orellana,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,Commercial,CHOZN,37,GS-/- + MSX,NA,FedBatch,Low,NA,SubLP_Bio_rep3
SRR5812581,SRS2343063,SRP111368,PolyA,SRP111368,Orellana,O,Orellana,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,Commercial,CHOZN,37,GS-/- + MSX,NA,FedBatch,Low,NA,SubLP_Bio_rep3
SRR7779168,SRS3734914,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,VSV_m
SRR7779169,SRS3734915,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,VSV_poly
SRR7779170,SRS3734916,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,VSV_ifn
SRR7779171,SRS3734917,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,VSV_V+m
SRR7779172,SRS3734918,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,VSV_V+poly
SRR7779173,SRS3734919,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,VSV_V+ifn
SRR7779174,SRS3734920,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,VSV_m
SRR7779175,SRS3734925,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,VSV_poly
SRR7779176,SRS3734921,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,VSV_ifn
SRR7779177,SRS3734922,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,VSV_V+m
SRR7779178,SRS3734923,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,VSV_V+poly
SRR7779179,SRS3734924,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,VSV_V+ifn
SRR7779180,SRS3734926,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,EMCV_m
SRR7779181,SRS3734927,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,EMCV_poly
SRR7779182,SRS3734928,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,EMCV_ifn
SRR7779183,SRS3734929,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,EMCV_V+m
